INFO  - 2013-07-16 10:09:09.331; org.eclipse.jetty.server.Server; jetty-8.1.8.v20121106
INFO  - 2013-07-16 10:09:09.354; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/thelabdude/dev/SolrInAction/solr-4.3.1/shard1/contexts at interval 0
INFO  - 2013-07-16 10:09:09.362; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/thelabdude/dev/SolrInAction/solr-4.3.1/shard1/contexts/solr-jetty-context.xml
INFO  - 2013-07-16 10:09:10.033; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-07-16 10:09:10.067; org.eclipse.jetty.server.handler.ContextHandler; started o.e.j.w.WebAppContext{/solr,file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/shard1/solr-webapp/webapp/},/Users/thelabdude/dev/SolrInAction/solr-4.3.1/shard1/webapps/solr.war
INFO  - 2013-07-16 10:09:10.067; org.eclipse.jetty.server.handler.ContextHandler; started o.e.j.w.WebAppContext{/solr,file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/shard1/solr-webapp/webapp/},/Users/thelabdude/dev/SolrInAction/solr-4.3.1/shard1/webapps/solr.war
INFO  - 2013-07-16 10:09:10.080; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-07-16 10:09:10.093; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-07-16 10:09:10.094; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2013-07-16 10:09:10.102; org.apache.solr.core.CoreContainer$Initializer; looking for solr config file: /Users/thelabdude/dev/SolrInAction/solr-4.3.1/shard1/solr/solr.xml
INFO  - 2013-07-16 10:09:10.104; org.apache.solr.core.CoreContainer; New CoreContainer 1567531625
INFO  - 2013-07-16 10:09:10.105; org.apache.solr.core.CoreContainer; Loading CoreContainer using Solr Home: 'solr/'
INFO  - 2013-07-16 10:09:10.105; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2013-07-16 10:09:10.319; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-07-16 10:09:10.320; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-07-16 10:09:10.320; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-07-16 10:09:10.322; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-07-16 10:09:10.322; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-07-16 10:09:10.322; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-07-16 10:09:10.322; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-07-16 10:09:10.323; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-07-16 10:09:10.323; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-07-16 10:09:10.328; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2013-07-16 10:09:10.475; org.apache.solr.core.CoreContainer; Registering Log Listener
INFO  - 2013-07-16 10:09:10.483; org.apache.solr.cloud.SolrZkServer; STARTING EMBEDDED STANDALONE ZOOKEEPER SERVER at port 9983
INFO  - 2013-07-16 10:09:10.984; org.apache.solr.core.CoreContainer; Zookeeper client=localhost:9983
INFO  - 2013-07-16 10:09:10.990; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnections=500&maxConnectionsPerHost=16&socketTimeout=0&connTimeout=0
INFO  - 2013-07-16 10:09:11.023; org.apache.solr.common.cloud.ConnectionManager; Waiting for client to connect to ZooKeeper
INFO  - 2013-07-16 10:09:11.053; org.apache.solr.common.cloud.ConnectionManager; Watcher org.apache.solr.common.cloud.ConnectionManager@7dbd9d76 name:ZooKeeperConnection Watcher:localhost:9983 got event WatchedEvent state:SyncConnected type:None path:null path:null type:None
INFO  - 2013-07-16 10:09:11.054; org.apache.solr.common.cloud.ConnectionManager; Client is connected to ZooKeeper
